signature,real_count,real_rank,synth_count,synth_rank,rank_diff,count_ratio,is_match
U+0020вЖТU+000A,8,1,43,1,0,4.888888888888889,True
"DELETE["" ""]",7,2,34,2,0,4.375,True
"INSERT[""
""]",5,3,22,3,0,3.8333333333333335,True
"INSERT["".""]",4,4,9,10,6,2.0,True
"INSERT["",""]",4,5,0,48,43,0.2,False
U+003AвЖТU+002E,4,6,22,4,2,4.6,True
"""( ""вЖТ""гАК""",3,7,14,5,2,3.75,True
"INSERT["" ""]",2,8,11,7,1,4.0,True
U+C5ECвЖТU+BA70,2,9,7,11,2,2.6666666666666665,True
"""( ""вЖТ""<""",2,10,10,8,2,3.6666666666666665,True
"""лІР""вЖТ""лІИмЭінБі""",1,11,6,20,9,3.5,True
"INSERT[""мЦі""]",1,12,0,49,37,0.5,False
"""мІР""вЖТ""мІАмЭМ""",1,13,3,40,27,2.0,True
U+005FвЖТU+007C,1,14,3,41,27,2.0,True
"""мИ≤""вЖТ""лЕЄмІДмД†""",1,15,4,32,17,2.5,True
"""мЫА лєµ мДђ л∞©""вЖТ""мШЃкєА
л™ЕмГБм†АлДР
мГБ""",1,16,5,26,10,3.0,True
U+C9C0вЖТU+CE58,1,17,4,33,16,2.5,True
""" II к≥†мЦСмЛЬл¶ЉлЖИлєЫлПД мДЬкіА X""вЖТ""
T""",1,18,4,34,16,2.5,True
""" ""вЖТ""t
к≥†мЦСмЛЬл¶љлЖТлєЫлПДмДЬкіА
""",1,19,10,9,10,5.5,True
U+0073вЖТU+0061,1,20,5,27,7,3.0,True
"""l ""вЖТ""
""",1,21,6,21,0,3.5,True
"""OO""вЖТ""00""",1,22,2,42,20,1.5,True
"""ll кЈЄ""вЖТ""11
лЭЉ""",1,23,4,35,12,2.5,True
U+C6B4вЖТU+C6B0,1,24,2,43,19,1.5,True
"""мї®мГЭ""вЖТ""нБімЛ±""",1,25,7,12,13,4.0,True
""" лђЉ""вЖТ""
кµі """,1,26,7,13,13,4.0,True
"INSERT[""'""]",1,27,0,50,23,0.5,False
U+C6C0вЖТU+B0C8,1,28,5,28,0,3.0,True
""" к∞Р""вЖТ""
лЮМ""",1,29,12,6,23,6.5,True
""" ) ""вЖТ"">
""",1,30,4,36,6,2.5,True
"""лРР""вЖТ""лРШмЧИ""",1,31,2,44,13,1.5,True
U+ACC4вЖТU+AC8C,1,32,7,14,18,4.0,True
U+BC18вЖТU+BC1B,1,33,7,15,18,4.0,True
""" ""вЖТ"".
""",1,34,7,16,18,4.0,True
""" мЭД""вЖТ""
мЭД """,1,35,5,29,6,3.0,True
"""rn""вЖТ""m""",1,36,2,45,9,1.5,True
U+D2C0вЖТU+B97C,1,37,6,22,15,3.5,True
""" нЮШ""вЖТ""
нЧШ""",1,38,6,23,15,3.5,True
U+003BвЖТU+002C,1,39,5,30,9,3.0,True
""" ( ""вЖТ""гАЛ, гАК""",1,40,4,37,3,2.5,True
U+0020вЖТU+300B,1,41,6,24,17,3.5,True
""" )""вЖТ"">""",1,42,2,46,4,1.5,True
""": ""вЖТ"".
www.untetheredsoul.com
""",1,43,7,17,26,4.0,True
U+CE58вЖТU+C9C0,1,44,4,38,6,2.5,True
U+004FвЖТU+00A9,1,45,7,18,27,4.0,True
""" лЛ§мВђ""вЖТ""
лФФмЮР""",1,46,4,39,7,2.5,True
U+C2DDвЖТU+C11D,1,47,5,31,16,3.0,True
"DELETE["" WWW untethieredsoulcom""]",1,48,1,47,1,1.0,True
"DELETE[""':"" "" l; ' ' ""]",1,49,6,25,24,3.5,True
""" ) ""вЖТ"">""",1,50,7,19,31,4.0,True
